Opp No,Opp Type,Status,Region,Country,BU,Sector,Customer Group,Customer,Product,Created,Cust Dec Date,Go Live Date,Date Exp Gain,Payment Terms,Contract Term,Milestone, Prob to win % ,BCA_Status,Ann Rev (—m),Ann GP (—m),Ann GP (‹m)
244590,1. New,3. Potential Opps,North America,USA,CLA,Automotive,FORD MOTOR,Ford Motor,,27/04/2016,03/07/2017,26/02/2018,02/10/2017,,1-2 Years,Potential Opportunity,10,,98.12,76.41,76.41
245024,2. Renewal,2. Opportunity,North America,USA,CLA,Consumer,PROCTER & GAMBLE,Procter & Gamble,Warehousing,29/04/2016,01/04/2017,01/05/2017,01/05/2017,120,2-3 Years,Proposal (incl. COO & COS) signed off,85,Awaiting Approval,28.6,18.53,13.37
245025,2. Renewal,1. Gain,North America,USA,CLA,Consumer,PROCTER & GAMBLE,Procter & Gamble,Warehousing,29/04/2016,01/06/2016,01/07/2016,17/02/2017,75,1-2 Years,Contract Signed,100,Approved,183.49,55.4,22.99
245059,2. Renewal,2. Opportunity,North America,USA,CLA,Consumer,PROCTER & GAMBLE,Procter & Gamble,Packaging Services,02/05/2016,01/06/2016,01/01/2016,05/09/2016,45,1-2 Years,Verbal Customer Commitment Received,85,Approved,269.2,93.41,18.53
245224,1. New,1. Gain,North America,USA,CLA,Consumer,UNILEVER,Unilever,Packaging Services,10/05/2016,29/08/2016,01/12/2016,23/08/2016,60,< 1 Year,Customer commitment_ Move to gain,100,Transactional,38.27,10.32,10.32
247248,1. New,2. Opportunity,North America,USA,CLA,Consumer,PEPSICO,PepsiCo,Packaging Services,27/05/2016,01/03/2017,01/01/2018,01/04/2017,30,7+ Years,Qualified and signed off by Sponsor,20,,306.64,49.71,49.71
248908,2. Renewal,1. Gain,Latin America,Brazil,CLA,Technology,HEWLETT PACKARD ENTERPRISE,Hewlett Packard Enterprise,Managed Ground Transport,10/06/2016,15/06/2016,16/06/2016,17/10/2016,60,1-2 Years,Customer commitment_ Move to gain,100,Approved,27.82,24.93,16.93
249011,2. Renewal,1. Gain,Latin America,Brazil,CLA,Technology,HEWLETT PACKARD ENTERPRISE,Hewlett Packard Enterprise,Service Logistics,14/06/2016,14/06/2016,15/06/2016,17/10/2016,60,< 1 Year,Customer commitment_ Move to gain,100,Approved,23.13,21.83,18.87
249027,2. Renewal,2. Opportunity,Greater China,China,China,Consumer,PROCTER & GAMBLE,Procter & Gamble,Mail Services,15/06/2016,28/02/2017,01/03/2017,28/02/2017,90,2-3 Years,Verbal Customer Commitment Received,85,,7.22,1.41,55.4
250753,1. New,3. Potential Opps,North America,USA,CLA,Technology,HEWLETT PACKARD ENTERPRISE,Hewlett Packard Enterprise,,16/06/2016,,,06/06/2018,,< 1 Year,Potential Opportunity,10,, -   , -   , -   
251201,2. Renewal,1. Gain,Latin America,Brazil,CLA,Consumer,UNILEVER,Unilever,Managed Ground Transport,22/06/2016,02/05/2016,01/11/2016,16/12/2016,90,< 1 Year,Customer commitment_ Move to gain,100,Approved,15.92,27.81,2.87
251284,1. New,2. Opportunity,UK & IRELAND,UK,C&EM,Consumer,UNILEVER,Unilever,Warehousing,27/06/2016,09/03/2017,01/03/2018,13/04/2017,60,3-5 Years,Qualified and signed off by Sponsor,20,,30.7,21.46,21.46
252136,2. Renewal,3. Potential Opps,UK & IRELAND,UK,ELLP,Automotive,FORD MOTOR,Ford Motor,DHL Lead Logistics Partner,07/07/2016,27/02/2017,01/01/2018,05/05/2017,60,< 1 Year,Potential Opportunity,85,,24.6,24.27,19.05
256282,2. Renewal,1. Gain,Latin America,Brazil,CLA,Technology,HEWLETT PACKARD ENTERPRISE,Hewlett Packard Enterprise,Warehousing,13/07/2016,13/07/2016,01/08/2016,20/09/2016,45,2-3 Years,Customer commitment_ Move to gain,100,Approved,98.77,8.02,13.76
256410,2. Renewal,3. Potential Opps,UK & IRELAND,UK,ELLP,Automotive,FORD MOTOR,Ford Otosan,,21/07/2016,03/07/2017,24/07/2017,17/07/2017,,1-2 Years,Potential Opportunity,85,,0.01,0,0.13
256989,2. Renewal,1. Gain,Greater China,China,China,Automotive,FORD MOTOR,Ford Motor,Warehousing,02/08/2016,09/06/2017,01/12/2015,11/01/2017,45,1-2 Years,Contract Signed,100,Approved,26.32,24.28,14.61
257279,1. New,1. Gain,MLEMEA,Spain,Iberia,Consumer,UNILEVER,Unilever,Warehousing,16/08/2016,24/10/2016,01/11/2016,27/10/2016,60,1-2 Years,Customer commitment_ Move to gain,100,Approved,98.84,8.8,8.8
258065,1. New,7. Cancelled,UK & IRELAND,UK,C&EM,Consumer,PEPSICO,PepsiCo,Managed Ground Transport,24/08/2016,15/02/2017,18/10/2017,14/06/2017,30,2-3 Years,Closed - Canceled, -   ,,32.81,25.55,25.55
258094,2. Renewal,2. Opportunity,Latin America,Brazil,CLA,Consumer,PROCTER & GAMBLE,Procter & Gamble,Inbound-to-Manufacturing (I2M),25/08/2016,01/06/2017,02/10/2017,03/07/2017,35,2-3 Years,Qualified and signed off by Sponsor,85,,21.48,31.13,93.41
258197,1. New,4. Early Lead,North America,USA,CLA,Technology,HEWLETT PACKARD ENTERPRISE,HP Enterprise GSD,Inventory Financing Services,30/08/2016,,03/04/2017,30/09/2016,,2-3 Years,Early Lead, -   ,Transactional,30.66,14.33,14.33
260232,2. Renewal,1. Gain,Latin America,Brazil,CLA,Consumer,PROCTER & GAMBLE,Procter & Gamble,Warehousing,02/09/2016,10/08/2016,13/02/2017,04/10/2016,35,2-3 Years,Customer commitment_ Move to gain,100,Approved,66.61,55.4,24.93
260295,1. New,2. Opportunity,North America,USA,CLA,Consumer,UNILEVER,Unilever,Managed Ground Transport,06/09/2016,28/02/2017,03/07/2017,01/05/2017,60,2-3 Years,Data quality assessment conducted,20,,64.54,61.65,61.65
260676,2. Renewal,2. Opportunity,Latin America,Brazil,Service Logistics,Technology,HEWLETT PACKARD ENTERPRISE,HP Enterprise GSD,Service Logistics,08/09/2016,05/06/2017,30/06/2017,30/06/2017,60,< 1 Year,Proposal and solution fit presented,85,,14.84,15.7,98.23
261857,1. New,2. Opportunity,North America,USA,CLA,Consumer,UNILEVER,Unilever,Packaging Services,16/09/2016,10/01/2017,01/12/2017,01/09/2017,60,2-3 Years,Verbal Customer Commitment Received,90,Transactional,84.26,34.39,34.39
261902,2. Renewal,2. Opportunity,Latin America,Brazil,CLA,Consumer,UNILEVER,Unilever,Inbound-to-Manufacturing (I2M),19/09/2016,15/12/2016,20/01/2017,01/03/2017,90,2-3 Years,Verbal Customer Commitment Received,85,Approved,34.34,2.87,10.26
261903,1. New,5. Lost,Latin America,Brazil,CLA,Consumer,UNILEVER,Unilever,Inbound-to-Manufacturing (I2M),19/09/2016,28/02/2017,01/07/2017,01/05/2017,90,2-3 Years,Closed - Lost, -   ,,99.96,8.6,8.6
262270,1. New,4. Early Lead,UK & IRELAND,UK,C&EM,Consumer,UNILEVER,Unilever,Warehousing,21/09/2016,,,01/08/2017,,< 1 Year,Early Lead, -   ,, -   , -   , -   
262296,1. New,7. Cancelled,Greater China,China,China,Automotive,FORD MOTOR,Ford Motor,,23/09/2016,28/06/2017,01/07/2017,30/06/2017,,2-3 Years,Closed - Canceled, -   ,,55.19,4.3,4.3
262845,2. Renewal,2. Opportunity,Latin America,Brazil,CLA,Consumer,UNILEVER,Unilever,Managed Ground Transport,03/10/2016,31/01/2017,04/04/2016,03/04/2017,45,2-3 Years,Verbal Customer Commitment Received,85,Approved,101.14,10.26,54.44
262956,1. New,4. Early Lead,UK & IRELAND,UK,C&EM,Consumer,PEPSICO,PepsiCo,Warehousing,10/10/2016,,27/01/2020,27/01/2020,60,2-3 Years,Early Lead, -   ,,82.02,10.47,10.47
262961,1. New,2. Opportunity,Latin America,Brazil,CLA,Consumer,UNILEVER,Unilever,Warehousing,10/10/2016,07/04/2017,01/11/2017,03/07/2017,60,2-3 Years,Proposal and solution fit presented,33,,76.58,103.05,103.05
263114,2. Renewal,1. Gain,North America,USA,CLA,Automotive,FORD MOTOR,Ford Motor,Inbound-to-Manufacturing (I2M),19/10/2016,07/11/2016,17/04/2017,19/12/2016,45,3-5 Years,Contract Signed,100,Approved,47.8,54.44,31.23
263142,1. New,2. Opportunity,Latin America,Brazil,CLA,Consumer,PEPSICO,PepsiCo,In Plant Services,21/10/2016,28/03/2017,04/07/2017,24/04/2017,90,1-2 Years,Qualified and signed off by Sponsor,20,,17.8,16.62,16.62
263146,1. New,4. Early Lead,Latin America,Brazil,CLA,Consumer,PEPSICO,PepsiCo,Promotional Logistics,21/10/2016,,,14/03/2017,,< 1 Year,Early Lead, -   ,, -   , -   , -   
263495,1. New,7. Cancelled,Greater China,China,China,Automotive,FORD MOTOR,Ford Motor,In Plant Services,24/10/2016,21/02/2017,28/02/2017,23/02/2017,45,< 1 Year,Closed - Canceled, -   ,,18.4,21.49,21.49
264585,1. New,2. Opportunity,Greater China,China,China,Automotive,FORD MOTOR,Ford Motor,Aftermarket Services,27/10/2016,15/03/2017,01/06/2017,01/04/2017,30,3-5 Years,Qualified and signed off by Sponsor,20,Awaiting Approval,84.68,7.21,7.21
264596,1. New,3. Potential Opps,North America,USA,CLA,Consumer,UNILEVER,Unilever,Packaging Services,27/10/2016,06/07/2017,,01/09/2017,,< 1 Year,Potential Opportunity,10,Transactional, -   , -   , -   
9NHDWC,2. Renewal,2. Opportunity,MLEMEA,Spain,Iberia,Consumer,PROCTER & GAMBLE,Procter & Gamble,Packaging Services,02/09/2014,01/03/2017,01/03/2017,01/03/2017,75,2-3 Years,Proposal and solution fit presented,85,Awaiting Approval,50.14,46.86,31.61
9V52SQ,2. Renewal,1. Gain,Greater China,China,China,Consumer,UNILEVER,Unilever,Managed Ground Transport,09/06/2015,14/12/2015,01/10/2015,15/06/2016,65,< 1 Year,Customer commitment_ Move to gain,100,Awaiting Approval,31.03,19.05,1.41
9V5HUE,2. Renewal,1. Gain,Latin America,Brazil,CLA,Consumer,UNILEVER,Unilever,Packaging Services,31/03/2015,14/08/2015,31/07/2015,01/03/2016,63,1-2 Years,Customer commitment_ Move to gain,100,Approved,62.1,69.82,21.83
9VBFVG,1. New,2. Opportunity,Latin America,Brazil,CLA,Consumer,UNILEVER,Unilever,Inbound-to-Manufacturing (I2M),03/04/2015,01/09/2017,01/02/2018,01/11/2017,60,2-3 Years,Shortlisted,50,Awaiting Approval,14.89,12.99,12.99
9WG2RW,2. Renewal,5. Lost,UK & IRELAND,UK,ELLP,Automotive,FORD MOTOR,Ford Motor,Inbound-to-Manufacturing (I2M),24/06/2015,19/11/2016,01/12/2016,31/12/2016,60,< 1 Year,Closed - Lost, -   ,Approved,0.33,0.13,46.86
9XY2SC,2. Renewal,2. Opportunity,Greater China,China,China,Automotive,FORD MOTOR,Ford Motor,Warehousing,08/01/2016,09/06/2017,01/01/2017,16/06/2017,60,3-5 Years,Qualified and signed off by Sponsor,85,Awaiting Approval,23.69,18.87,69.82
9YG5FC,1. New,5. Lost,Greater China,China,China,Automotive,FORD MOTOR,Ford Motor,Aftermarket Services,16/07/2015,03/11/2017,29/12/2017,24/11/2017,40,2-3 Years,Closed - Lost, -   ,Not started,73.59,57.31,57.31
9Z6FYM,2. Renewal,2. Opportunity,North America,USA,CLA,Consumer,UNILEVER,Unilever,Warehousing,06/08/2015,31/03/2016,03/04/2017,15/03/2017,60,2-3 Years,Verbal Customer Commitment Received,85,Approved,220.78,14.61,27.81
A2SECX,1. New,1. Gain,MLEMEA,Spain,Iberia,Consumer,UNILEVER,Unilever,Warehousing,28/09/2015,18/01/2016,01/02/2016,12/01/2016,60,< 1 Year,Customer commitment_ Move to gain,100,Approved,40.44,3.5,3.5
A4THP4,1. New,2. Opportunity,UK & IRELAND,UK,ELLP,Automotive,FORD MOTOR,Ford Motor,DHL Lead Logistics Partner,02/12/2015,04/11/2016,31/07/2017,31/03/2017,60,2-3 Years,Verbal Customer Commitment Received,90,Awaiting Approval,17.74,35.41,35.41
A54GJ8,1. New,2. Opportunity,UK & IRELAND,UK,ELLP,Automotive,FORD MOTOR,Ford Motor,DHL Lead Logistics Partner,11/12/2015,01/08/2017,08/01/2018,02/10/2017,60,3-5 Years,Qualified and signed off by Sponsor,20,Not started,176.25,12.14,12.14
