Customer,Country,KPI,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
PEPSICO,Brazil,On Time Shipping,2014,99.09,99.09,99.03,99.04,99.64,99.00,99.19,99.04,99.56,99.38,100.00,100.00
PROCTER & GAMBLE,Brazil,On Time Shipping,2014,99.23,98.17,97.70,98.41,98.72,98.37,99.98,99.94,99.96,99.74,99.98,99.63
UNILEVER,Brazil,On Time Shipping,2014,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
FORD MOTOR,China,On Time Shipping,2014,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
HEWLETT PACKARD,China,On Time Shipping,2014,100.00,99.97,99.96,99.99,99.99,99.99,100.00,99.95,100.00,100.00,99.97,99.93
UNILEVER,China,On Time Shipping,2014,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
PEPSICO,China,On Time Shipping,2014,100.00,99.97,99.96,99.99,99.99,99.99,100.00,99.95,100.00,100.00,99.97,99.93
PROCTER & GAMBLE,China,On Time Shipping,2014,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
PROCTER & GAMBLE,Spain,On Time Shipping,2014,99.86,99.98,99.78,99.82,99.96,100.00,100.00,99.87,99.84,99.98,100.00,100.00
UNILEVER,Spain,On Time Shipping,2014,99.86,99.98,99.78,99.82,99.96,100.00,100.00,99.87,99.84,99.98,100.00,100.00
FORD MOTOR,Spain,On Time Shipping,2014,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
HEWLETT PACKARD,Spain,On Time Shipping,2014,99.55,99.86,99.68,99.79,99.81,99.86,99.92,99.88,99.70,99.89,99.96,99.91
PEPSICO,Spain,On Time Shipping,2014,99.09,99.09,99.03,99.04,99.64,99.00,99.19,99.04,99.56,99.38,100.00,100.00
FORD MOTOR,UK,On Time Shipping,2014,99.09,99.09,99.03,99.04,99.64,99.00,99.19,99.04,99.56,99.38,100.00,100.00
HEWLETT PACKARD,UK,On Time Shipping,2014,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
PEPSICO,UK,On Time Shipping,2014,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
PROCTER & GAMBLE,UK,On Time Shipping,2014,99.86,99.93,99.86,99.93,99.86,99.93,99.86,99.93,99.86,99.93,99.86,99.93
UNILEVER,UK,On Time Shipping,2014,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
FORD MOTOR,USA,On Time Shipping,2014,99.45,99.45,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,99.45,99.45
HEWLETT PACKARD,USA,On Time Shipping,2014,100.00,100.00,100.00,100.00,99.97,100.00,100.00,99.96,100.00,100.00,100.00,100.00
PEPSICO,USA,On Time Shipping,2014,99.07,99.19,99.22,99.67,100.00,100.00,100.00,100.00,99.79,99.78,99.83,99.89
PROCTER & GAMBLE,USA,On Time Shipping,2014,99.88,99.89,99.73,99.88,99.75,99.80,99.71,99.89,99.74,99.90,99.69,99.89
UNILEVER,USA,On Time Shipping,2014,99.81,99.81,99.88,99.83,99.79,99.93,99.46,99.96,99.84,99.33,99.87,99.86
FORD MOTOR,Brazil,On Time Shipping,2015,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,,
HEWLETT PACKARD,Brazil,On Time Shipping,2015,99.77,99.98,99.91,99.91,99.87,99.89,99.90,99.88,99.85,99.95,,
PEPSICO,Brazil,On Time Shipping,2015,99.33,100.00,99.38,99.40,99.08,99.61,99.07,99.27,99.66,99.24,,
PROCTER & GAMBLE,Brazil,On Time Shipping,2015,99.81,100.00,99.69,99.68,99.87,99.96,99.98,99.97,99.99,99.98,,
UNILEVER,Brazil,On Time Shipping,2015,100.00,100.00,100.00,78.62,100.00,100.00,100.00,100.00,100.00,100.00,,
FORD MOTOR,China,On Time Shipping,2015,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,,
HEWLETT PACKARD,China,On Time Shipping,2015,99.99,99.95,99.93,97.10,99.97,99.97,99.94,99.97,99.99,100.00,,
UNILEVER,China,On Time Shipping,2015,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,,
PEPSICO,China,On Time Shipping,2015,99.99,99.95,99.93,97.10,99.97,99.97,99.94,99.97,99.99,100.00,,
PROCTER & GAMBLE,China,On Time Shipping,2015,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,,
PROCTER & GAMBLE,Spain,On Time Shipping,2015,100.00,99.79,99.95,99.94,99.90,100.00,99.93,100.00,99.94,99.80,,
UNILEVER,Spain,On Time Shipping,2015,100.00,99.79,99.95,99.94,99.90,100.00,99.93,100.00,99.94,99.80,,
FORD MOTOR,Spain,On Time Shipping,2015,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,,
HEWLETT PACKARD,Spain,On Time Shipping,2015,99.77,99.98,99.91,99.91,99.87,99.89,99.90,99.88,99.85,99.95,,
PEPSICO,Spain,On Time Shipping,2015,99.33,100.00,99.38,99.40,99.08,99.61,99.07,99.27,99.66,99.24,,
FORD MOTOR,UK,On Time Shipping,2015,99.33,100.00,99.38,99.40,99.08,99.61,99.07,99.27,99.66,99.24,,
HEWLETT PACKARD,UK,On Time Shipping,2015,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,,
PEPSICO,UK,On Time Shipping,2015,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,,
PROCTER & GAMBLE,UK,On Time Shipping,2015,99.86,99.93,99.86,99.93,99.86,99.93,99.86,99.93,99.86,99.93,,
UNILEVER,UK,On Time Shipping,2015,100.00,100.00,100.00,78.62,100.00,100.00,100.00,100.00,100.00,100.00,,
FORD MOTOR,USA,On Time Shipping,2015,99.45,99.45,99.45,99.45,99.45,99.45,99.45,99.45,99.45,99.45,,
HEWLETT PACKARD,USA,On Time Shipping,2015,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,,
PEPSICO,USA,On Time Shipping,2015,99.83,99.42,99.54,100.00,99.46,100.00,100.00,99.64,99.82,99.32,,
PROCTER & GAMBLE,USA,On Time Shipping,2015,99.59,99.12,99.08,99.35,98.84,99.51,99.40,99.80,99.66,99.81,,
UNILEVER,USA,On Time Shipping,2015,99.85,99.98,99.85,99.90,99.89,99.98,99.76,99.92,99.90,99.74,,
