Customer,Country,KPI,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
UNILEVER,USA,Inventory Location Accuracy,2013,99.2,99.09,99.21,99.61,99.68,99.41,99.24,99.5,99.79,99.74,99.89,99.49
FORD MOTOR,Brazil,Inventory Location Accuracy,2014,99.67,99.67,99.67,99.67,99.67,99.67,99.67,99.67,99.67,99.67,99.67,99.67
HEWLETT PACKARD,Brazil,Inventory Location Accuracy,2014,99.74,99.69,99.58,99.67,99.69,99.75,99.75,99.68,99.62,99.9,99.76,99.75
PEPSICO,Brazil,Inventory Location Accuracy,2014,99.84,99.94,99.99,99.98,99.99,100,100,100,99.97,100,100,99.97
PROCTER & GAMBLE,Brazil,Inventory Location Accuracy,2014,99.29,99.69,99.02,98.92,99.82,99.54,99.86,99.43,99.73,99.76,99.73,99.8
UNILEVER,Brazil,Inventory Location Accuracy,2014,99.83,99.77,99.65,99.67,99.69,99.62,99.81,99.81,99.75,99.73,99.78,99.79
FORD MOTOR,China,Inventory Location Accuracy,2014,99.94,99.89,99.87,99.87,99.89,99.91,99.64,99.93,99.6,99.94,99.96,99.95
HEWLETT PACKARD,China,Inventory Location Accuracy,2014,100,100,99.99,100,99.92,99.98,99.98,100,100,100,100,100
UNILEVER,China,Inventory Location Accuracy,2014,100,100,100,100,100,100,100,100,99.99,99.99,99.99,100
PEPSICO,China,Inventory Location Accuracy,2014,100,100,99.99,100,99.92,99.98,99.98,100,100,100,100,100
PROCTER & GAMBLE,China,Inventory Location Accuracy,2014,100,100,100,100,100,100,100,100,99.99,99.99,99.99,100
PROCTER & GAMBLE,Spain,Inventory Location Accuracy,2014,99.86,99.98,99.78,99.82,99.96,100,100,99.87,99.84,99.98,100,100
UNILEVER,Spain,Inventory Location Accuracy,2014,97.94,96.7,98.64,97.73,97.77,98.64,97.77,97.89,97.04,97.31,97.7,97.06
FORD MOTOR,Spain,Inventory Location Accuracy,2014,99.67,99.67,99.67,99.67,99.67,99.67,99.67,99.67,99.67,99.67,99.67,99.67
HEWLETT PACKARD,Spain,Inventory Location Accuracy,2014,99.74,99.69,99.58,99.67,99.69,99.75,99.75,99.68,99.62,99.9,99.76,99.75
PEPSICO,Spain,Inventory Location Accuracy,2014,99.84,99.94,99.99,99.98,99.99,100,100,100,99.97,100,100,99.97
FORD MOTOR,UK,Inventory Location Accuracy,2014,99.84,99.94,99.99,99.98,99.99,100,100,100,99.97,100,100,99.97
HEWLETT PACKARD,UK,Inventory Location Accuracy,2014,99.92,100,99.97,99.98,100,99.99,99.98,99.88,99.9,99.88,100,100
PEPSICO,UK,Inventory Location Accuracy,2014,99.92,99.92,99.93,99.94,99.93,99.92,99.89,99.98,99.98,99.99,99.97,99.96
PROCTER & GAMBLE,UK,Inventory Location Accuracy,2014,99.04,99.36,99.17,99.38,99.62,99.5,99.58,99.48,99.44,98.85,99.49,99.37
UNILEVER,UK,Inventory Location Accuracy,2014,99.4,98.56,99.28,99.39,99.33,99.31,99.29,99.3,99.41,99.39,99.47,99.38
FORD MOTOR,USA,Inventory Location Accuracy,2014,98.16,98.16,98.16,97.65,98.56,98.34,99.48,97.86,98.66,100,100,100
HEWLETT PACKARD,USA,Inventory Location Accuracy,2014,99.77,99.68,99.56,99.51,99.82,99.61,99.41,99.58,99.58,99.58,99.58,99.58
PEPSICO,USA,Inventory Location Accuracy,2014,99.74,99.77,100,99.84,99.91,100,99.88,99.94,99.85,100,99.91,99.83
PROCTER & GAMBLE,USA,Inventory Location Accuracy,2014,99.59,99.54,99.62,99.53,99.66,99.63,99.6,98.04,99.63,99.47,99.55,99.61
UNILEVER,USA,Inventory Location Accuracy,2014,99.52,99.82,99.53,99.75,99.66,99.69,99.49,99.47,99.89,99.56,99.55,99.42
FORD MOTOR,Brazil,Inventory Location Accuracy,2015,99.67,99.67,99.67,99.67,99.67,99.67,99.67,99.67,99.67,99.67,,
HEWLETT PACKARD,Brazil,Inventory Location Accuracy,2015,99.72,99.76,99.81,99.76,99.89,99.86,99.84,99.9,99.89,99.92,,
PEPSICO,Brazil,Inventory Location Accuracy,2015,99.98,99.97,99.97,99.98,99.98,99.97,99.98,99.99,99.98,99.97,,
PROCTER & GAMBLE,Brazil,Inventory Location Accuracy,2015,99.95,99.94,99.9,99.94,99.95,99.94,99.99,99.97,99.97,99.97,,
UNILEVER,Brazil,Inventory Location Accuracy,2015,99.88,99.86,99.92,99.91,99.93,99.92,99.95,99.87,99.87,99.87,,
FORD MOTOR,China,Inventory Location Accuracy,2015,99.95,99.94,99.88,99.79,99.93,99.92,99.75,99.94,99.95,99.95,,
HEWLETT PACKARD,China,Inventory Location Accuracy,2015,100,100,100,100,100,99.99,100,100,99.99,100,,
UNILEVER,China,Inventory Location Accuracy,2015,100,100,100,100,100,100,100,100,100,100,,
PEPSICO,China,Inventory Location Accuracy,2015,100,100,100,100,100,99.99,100,100,99.99,100,,
PROCTER & GAMBLE,China,Inventory Location Accuracy,2015,100,100,100,100,100,100,100,100,100,100,,
PROCTER & GAMBLE,Spain,Inventory Location Accuracy,2015,100,99.79,99.95,99.94,99.9,100,99.93,100,99.94,99.8,,
UNILEVER,Spain,Inventory Location Accuracy,2015,97.75,97.9,97.8,97.75,97.7,97.73,97.74,97.75,97.69,97.5,,
FORD MOTOR,Spain,Inventory Location Accuracy,2015,99.67,99.67,99.67,99.67,99.67,99.67,99.67,99.67,99.67,99.67,,
HEWLETT PACKARD,Spain,Inventory Location Accuracy,2015,99.72,99.76,99.81,99.76,99.89,99.86,99.84,99.9,99.89,99.92,,
PEPSICO,Spain,Inventory Location Accuracy,2015,99.98,99.97,99.97,99.98,99.98,99.97,99.98,99.99,99.98,99.97,,
FORD MOTOR,UK,Inventory Location Accuracy,2015,99.98,99.97,99.97,99.98,99.98,99.97,99.98,99.99,99.98,99.97,,
HEWLETT PACKARD,UK,Inventory Location Accuracy,2015,99.99,99.99,99.98,100,100,99.99,99.86,99.76,99.76,99.77,,
PEPSICO,UK,Inventory Location Accuracy,2015,99.92,99.79,99.92,99.93,99.93,99.91,99.84,99.66,99.76,99.72,,
PROCTER & GAMBLE,UK,Inventory Location Accuracy,2015,99.45,99.75,99.54,99.61,99.45,99.59,99.49,99.38,99.27,99.52,,
UNILEVER,UK,Inventory Location Accuracy,2015,99.56,99.51,99.35,99.48,99.53,99.44,99.43,99.37,99.45,99.48,,
FORD MOTOR,USA,Inventory Location Accuracy,2015,100,100,100,100,100,100,100,100,100,100,,
HEWLETT PACKARD,USA,Inventory Location Accuracy,2015,99.41,100,100,99.35,99.53,99.58,99.36,99.63,99.72,99.36,,
PEPSICO,USA,Inventory Location Accuracy,2015,99.8,99.91,100,99.93,99.93,99.81,99.93,100,99.93,99.89,,
PROCTER & GAMBLE,USA,Inventory Location Accuracy,2015,99.62,99.58,99.68,99.63,99.64,99.58,99.63,99.72,99.47,99.46,,
UNILEVER,USA,Inventory Location Accuracy,2015,99.66,99.52,98.78,98.71,97.78,96.8,98.93,98.93,98.54,99.31,,
